Dia,Casos nuevos totales
1,1
2,1
3,2
4,1
5,1
6,2
7,3
8,5
9,2
10,6
11,10
12,10
13,18
14,14
15,81
16,45
17,37
18,104
19,92
20,103
21,95
22,114
23,176
24,220
25,164
26,304
27,299
28,230
29,310
30,289
31,293
32,373
33,333
34,424
35,310
36,344
37,301
38,430
39,426
40,529
41,426
42,286
43,312
44,392
45,356
46,534
47,445
48,478
49,358
50,419
51,325
52,464
53,516
54,494
55,552
56,473
57,482
58,552
59,770
60,888
61,985
62,1427
63,1228
64,980
65,1373
66,1032
67,1533
68,1391
69,1247
70,1647
71,1197
72,1658
73,2660
74,2659
75,2502
76,1886
77,2353
78,2278
79,3520
80,4038
81,3964
82,4276
83,3536
84,3709
85,4895
86,3964
87,4328
88,4654
89,3695
90,4220
91,4830
92,5471
93,3527
94,4942
95,4664
96,4207
97,5246
98,6405
99,4696
100,3913
101,5737
102,5596
103,6754
104,6509
105,6938
106,5143
107,5013
108,4757
109,4475
110,6290
111,5355
112,5607
113,4608
114,3804
115,3649
116,4648
117,4296
118,4406
119,4216
120,4017
121,3394
122,2650
123,2498
124,3548
125,3758
126,3685
127,3025
128,2462
129,2064
130,3133
131,3058
132,2755
133,3012
134,2616
135,1836
136,1712
137,2475
138,2840
139,2185
140,2082
141,2099
142,1656
143,1741
144,2371
145,2545
146,2287
147,2198
148,2133
149,1876
150,1773
151,1948
152,2123
153,1979
154,2081
155,1762
156,1462
157,1781
158,1947
159,2149
160,2201
161,2036
162,1988
163,1566
164,1540
165,1852
166,2077
167,1777
168,2086
169,1556
170,1336
171,1233
172,1813
173,1920
174,1926
175,1942
176,1903
177,1406
178,1371
179,1739
180,1868
181,2033
182,1966
183,1753
184,1415
185,1582
186,1758
187,1965
188,1961
189,2077
190,1764
191,1263
192,1482
193,1639
194,1860
195,2135
196,2082
197,1685
198,1536
199,1305
200,1860
201,1673
202,1848
203,1600
204,1194
205,1054
206,1372
207,1731
208,2222
209,2109
210,1923
211,1770
212,1622
213,1684
214,1760
215,1839
216,1880
217,1708
218,1567
219,1554
220,1131
221,1575
222,1750
223,1824
224,1776
225,1517
226,1392
227,1089
228,1122
229,1689
230,1811
231,1759
232,1545
233,1099
234,1152
235,1495
236,1773
237,1631
238,1540
239,1505
240,922
241,1004
242,1519
243,1529
244,1686
245,1607
246,1314
247,1009
248,846
249,1540
250,1801
251,1568
252,1576
253,1318
254,1083
255,904
256,1631
257,1592
258,1644
259,1597
260,1331
261,1003
262,945
263,1455
264,1573
265,1550
266,1497
267,1440
268,1005
269,1004
270,1564
271,1570
272,1718
273,1489
274,1313
275,1119
276,1035
277,1507
278,1729
279,1533
280,1710
281,1760
282,1389
283,1247
284,1662
285,1531
286,1807
287,2139
288,1911
289,1498
290,1402
291,1998
292,2404
293,2217
294,2191
295,1943
296,1699
297,1726
298,2395
299,2520
300,2564
301,1711
302,1923
303,1958
304,1961
305,3022
306,3588
307,3338
308,2289
309,2450
310,2457
311,2378
312,3685
313,4201
314,4361
315,4181
316,3970
317,3238
318,3394
319,4177
320,4471
321,4313
322,4340
323,3918
324,3400
325,3583
326,4363
327,4956
328,4550
329,4498
330,4068
331,3322
332,3371
333,4260
334,4606
335,4160
336,4209
337,3779
338,3138
339,2616
340,3589
341,3786
342,4063
343,3804
344,3464
345,2829
346,2399
347,3729
348,4169
349,3920
350,3815
351,3333
352,2547
353,2330
354,3866
355,3827
356,3893
357,3618
358,3547
359,2356
360,2554
361,4181
362,4586
363,4523
364,4208
365,4082
366,2747
367,3053
368,4567
369,5325
370,5037
371,5280
372,4733
373,3528
374,3958
375,5566
376,5983
377,5928
378,5734
379,5117
380,4591
381,4395
382,6249
383,6604
384,7084
385,6836
386,6155
387,4948
388,4826
389,7023
390,7626
391,7588
392,7326
393,7247
394,5394
395,6053
396,7830
397,8112
398,8028
399,7304
400,5807
401,5164
402,5134
403,8195
404,9171
405,8124
406,7945
407,6372
408,5718
409,5497
410,7357
411,7590
412,7696
413,7294
414,6643
415,5071
416,4914
417,6832
418,7525
419,6796
420,6638
421,6078
422,4141
423,4416
424,6889
425,7199
426,6469
427,6122
428,4874
429,3198
430,3791
431,6202
432,6574
433,6219
434,5521
435,5357
436,3771
437,3920
438,6181
439,6903
440,6769
441,6320
442,5566
443,3787
444,4778
445,7680
446,7614
447,7514
448,6519
449,5374
450,4188
451,5176
452,8117
453,8680
454,8426
455,7772
456,6882
457,5040
458,5631
459,8150
460,8273
461,8867
462,7768
463,6958
464,5568
465,5369
466,7716
467,7972
468,7624
469,7529
470,6234
471,4607
472,4347
473,6683
474,6770
475,6263
476,5753
477,5252
478,3464
479,2768
480,3448
481,5628
482,5208
483,4488
484,4075
485,2648
486,2148
487,2677
488,4086
489,3880
490,3368
491,2852
492,1885
493,1892
494,3193
495,2906
496,2696
497,2330
498,2160
499,1278
500,1227
501,2336
502,2031
503,1874
504,1419
505,1015
506,902
507,989
508,1861
509,1656
510,1407
511,1446
512,1185
513,753
514,828
515,1383
516,1355
517,1152
518,1185
519,921
520,616
521,674
522,1223
523,1147
524,940
525,868
526,871
527,514
528,584
529,1128
530,882
531,877
532,904
533,754
534,405
535,503
536,899
537,763
538,698
539,679
540,591
541,387
542,392
543,801
544,672
545,607
546,603
547,512
548,315
549,375
550,594
551,504
552,477
553,430
554,435
555,273
556,358
557,515
558,518
559,489
560,449
561,426
562,297
563,408
564,604
565,594
566,610
567,491
568,280
569,291
570,526
571,886
572,852
573,783
574,775
575,640
576,454
577,525
578,895
579,846
580,853
581,752
582,673
583,503
584,714
585,981
586,1037
587,1033
588,1105
589,996
590,634
591,766
592,1223
593,1703
594,1774
595,1562
596,1357
597,966
598,1206
599,1842
600,2086
601,2056
602,1882
603,1677
604,1201
605,1753
606,2205
607,2379
608,2230
609,2250
610,1806
611,1390
612,1360
613,1953
614,2601
615,2895
616,2682
617,2367
618,1800
619,2229
620,2833
621,2950
622,2712
623,2835
624,2377
625,1741
626,2104
627,2640
628,2679
629,2696
630,2711
631,2252
632,1700
633,1937
634,2641
635,2692
636,2667
637,2361
638,1979
639,1392
640,1538
641,2244
642,2115
643,2060
644,1947
645,1517
646,1185
647,1401
648,1793
649,1516
650,1375
651,1605
652,1383
653,970
654,1080
655,1520
656,1465
657,1431
658,1275
659,1157
660,887
661,981
662,1504
663,1426
664,1511
665,1232
666,760
667,770
668,1295
669,1813
670,1831
671,1930
672,1921
673,1005
674,1058
675,1858
676,3134
677,3799
678,4380
679,4064
680,4069
681,3922
682,4847
683,7291
684,8270
685,9284
686,9454
687,8904
688,7533